zinc_id,smiles
ZINC000002563896,Cc1ccc2sc(C=O)cc2c1
ZINC000002528193,Fc1cc(C(F)(F)F)ccc1Cl
ZINC000014981995,CC(=O)c1c[nH]c2ccc(Cl)cc12
ZINC000047843979,Cc1nc(-c2occc2Cl)oc1C
ZINC000001641352,CCCCCC(=O)c1ccco1
ZINC000001848542,CCCCCCC(=O)OCCCC
ZINC000039202353,Cc1cccc(Oc2ccccc2)c1N
ZINC000037465646,Cc1ccc([C@H](O)C(C)(C)C)cc1
ZINC000238857225,C[C@@H]1CCC[C@H]([C@@H]2CCCC[C@H]2O)C1
ZINC000038880906,COc1cc2ccccc2cc1C
ZINC000100073725,CC1(C)[C@@H]2CC[C@](C)(S)[C@@H]1C2
ZINC000083255315,ClCc1cnoc1-c1cccs1
ZINC000015169220,C[C@H]1CC=C2C(C)(C)CC=C[C@@]2(C)O1
ZINC000000161495,Cc1csc2ccc(F)cc12
ZINC000001997926,CCCCCc1ccco1
ZINC000072266610,CN[C@@H](C)[C@H](C)c1ccc(Cl)cc1
ZINC000044184892,Cc1cc(C)c2[nH]ccc2c1Cl
ZINC000001687129,CCCCC[C@H](O)c1ccccc1
ZINC000001510005,Oc1ccc(-c2ccccc2)cc1
ZINC000001680640,CCC(C)(C)c1ccc(O)cc1
ZINC000212507023,C[C@@H]1CC[C@H]2C[C@H]1SC2(C)C
ZINC000001666527,ClC1(Cl)C[C@@H]1c1ccccc1
ZINC000001732431,CCCCCCCCOC(=O)CC
ZINC000004198758,CC(C)c1nc(CCl)cs1
ZINC000085530467,C/C=C/C1CCC(C)CC1
ZINC000002389855,CC(C)Sc1ccccc1
ZINC000003705346,C[C@H](N)c1cc2cc(Cl)ccc2o1
ZINC000005162445,c1ccc(NC2CCCC2)cc1
ZINC000001850454,CCCCCCC[C@H]1C[C@@H](C)OC1=O
ZINC000057368597,Cc1ccccc1[C@H](C)Br
ZINC000057935763,Cc1cc(Cl)ccc1CCl
ZINC000085483134,Fc1cc(Cl)cc(CCl)c1
ZINC000016946968,Oc1cccc(-c2ccccc2F)c1
ZINC000021984644,O=CC1CCC(c2ccccc2)CC1
ZINC000002010291,CCCCCCc1ccc(N)cc1
ZINC000043206173,CCC(=N\O)/C(C)=C/c1ccsc1
ZINC000000225501,Cc1ccc(Cl)c2cccnc12
ZINC000014679942,C/C=C\SSCCC
ZINC000100005773,C[C@@H]1CC[C@@H]2C[C@@H]1C2(C)C
ZINC000079006902,Clc1ccc(C2CC2)cc1
ZINC000034450390,Fc1ccc2nc(Cl)ccc2c1
ZINC000002164189,CCCCCCC[C@H](O)CC
ZINC000038792129,C1=CC2=Nc3ccccc3C2=CC1
ZINC000003888405,Cc1[nH]c(=S)n(C2CCCC2)c1C
ZINC000014590143,C=CCSSSSC
ZINC000004578723,CCC[C@H](C#N)c1ccccc1
ZINC000020443884,Cc1cc(Cl)nc(C(F)(F)F)c1
ZINC000032628496,CC1(C)Cc2cccc(Cl)c2O1
ZINC000019421307,CC(C)(C)C[C@@H](N)c1ccccc1
ZINC000008613255,CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C
ZINC000034383546,Cc1ccc(Cl)c2ncccc12
ZINC000036990062,CC(C)Nc1cnc2ccccc2c1
ZINC000008768978,Cc1nc2ccccc2c(C)c1C
ZINC000095698282,[C-]#[N+]c1ccc(C)c(Cl)c1
ZINC000002391905,CN=C(c1ccccc1)c1ccccc1
ZINC000014724762,C[C@H]1C(=O)C=C2C(C)(C)CC=C[C@@]21C
ZINC000000405270,Oc1cc(Cl)cc(Cl)c1Cl
ZINC000008462088,Cc1cc(=S)c2ccccc2[nH]1
ZINC000019093393,Cc1ccccc1[C@H](N)c1ccccc1
ZINC000001627121,C=Cc1c(F)c(F)c(F)c(F)c1F
ZINC000021981605,Cc1c(C(F)(F)F)[nH]c2ccccc12
ZINC000012505090,Fc1ccc(-c2c[nH]c(=S)o2)cc1
ZINC000026516318,CC(C)Nc1ccc(F)cc1Cl
ZINC000004207198,CCCc1ccc([C@H](N)C(C)C)cc1
ZINC000000403522,COc1ccc(Cl)cc1Cl
